chrom1	start1	end1	chrom2	start2	end2	ipet_2
chr1	15649573	15650928	chr1	15757025	15758494	5
chr1	16405131	16406081	chr1	16513811	16514816	4
chr1	17451899	17452677	chr1	17564380	17564903	2
chr1	17452019	17453125	chr1	17563398	17564359	4
chr1	17579909	17580410	chr1	111177004	111177504	2
chr1	17664290	17665074	chr1	17732320	17733304	3
chr1	17746188	17746860	chr1	17764894	17765501	2
chr1	17828695	17829438	chr1	17933109	17933636	2
chr1	17939181	17939681	chr1	17947433	17947935	2
chr1	17980635	17981363	chr1	18152218	18152795	2
chr1	18246112	18246978	chr1	18426839	18427384	2
chr1	18618690	18619190	chr1	117098499	117098999	2
chr1	18923709	18924369	chr1	19201531	19202083	2
chr1	18924009	18925080	chr1	19147015	19147902	3
chr1	19505699	19506363	chr1	19978438	19979221	2
chr1	20301032	20301692	chr1	20478822	20479513	2
chr1	20597540	20598383	chr1	20756794	20757608	2
chr1	20760214	20761106	chr1	20820098	20820979	2
chr1	20848734	20849605	chr1	20966416	20967533	4
chr1	21581426	21582144	chr1	21597308	21597976	2
chr1	21581520	21582418	chr1	21695230	21695736	2
chr1	22072999	22073499	chr1	37215693	37216193	2
chr1	22458109	22458650	chr1	22534814	22535443	2
chr1	22746756	22747533	chr1	22968088	22969141	3
chr1	23030996	23031575	chr1	23188637	23189255	2
chr1	23212358	23212858	chr1	95916880	95917380	2
chr1	23425258	23425858	chr1	23503984	23504885	2
chr1	23425362	23426013	chr1	23536622	23537485	2
chr1	23871021	23871752	chr1	23963521	23964139	2
chr1	24396874	24397561	chr1	24438984	24439605	2
chr1	24525310	24525996	chr1	24716842	24717369	2
chr1	24525405	24526400	chr1	24717855	24719517	5
chr1	24528208	24529268	chr1	24717847	24718358	3
chr1	25014376	25015199	chr1	25156989	25157824	2
chr1	25797769	25798269	chr1	190404244	190404815	2
chr1	26826404	26827242	chr1	26857421	26858097	2
chr1	26855282	26855782	chr1	192675486	192676006	2
chr1	27004253	27004973	chr1	27115198	27115770	2
chr1	27215298	27215813	chr1	27372185	27372685	2
chr1	27324050	27324825	chr1	27371075	27371646	2
chr1	27442011	27442511	chr1	27589094	27589598	2
chr1	27883270	27883865	chr1	27932447	27933254	2
chr1	28173701	28174201	chr1	28184643	28185143	2
chr1	28814447	28814947	chr1	112141036	112141744	2
chr1	28844142	28844905	chr1	28907306	28907885	2
chr1	29208148	29209098	chr1	29360002	29361122	3
chr1	29208350	29209160	chr1	29529471	29530031	2
chr1	29397538	29398038	chr1	31180689	31181189	2
chr1	29572206	29572950	chr1	29667761	29668637	2
chr1	29572251	29572751	chr1	29741740	29742257	2
chr1	31191800	31192460	chr1	31252494	31253083	2
chr1	31254911	31255840	chr1	31383584	31384796	5
chr1	31255417	31255917	chr1	150438405	150438907	2
chr1	31274283	31275311	chr1	31383965	31385003	5
chr1	31360428	31360928	chr1	163505354	163505854	2
chr1	31933008	31933596	chr1	32014513	32015024	2
chr1	32029274	32030338	chr1	32059249	32060406	4
chr1	32128997	32129893	chr1	32210960	32211632	2
chr1	32985993	32986853	chr1	33085647	33086412	2
chr1	33007523	33008023	chr1	33030491	33031017	2
chr1	33178086	33178959	chr1	33238359	33238905	2
chr1	33225047	33225787	chr1	33238255	33239085	2
chr1	33342230	33343071	chr1	33935821	33936620	2
chr1	35186277	35186777	chr1	46140884	46141582	2
chr1	35251558	35252400	chr1	35317730	35318632	2
chr1	36180774	36181274	chr1	193255319	193255819	2
chr1	36194747	36195247	chr1	36212798	36213298	2
chr1	36565337	36565932	chr1	36600463	36600972	2
chr1	36808093	36808629	chr1	36886516	36887027	2
chr1	37019290	37020024	chr1	37899530	37900127	2
chr1	37827004	37827519	chr1	162843493	162843993	2
chr1	37920156	37921107	chr1	37952534	37953787	5
chr1	38780699	38781199	chr1	65760126	65760626	2
chr1	39240918	39241422	chr1	50061414	50061914	2
chr1	39295506	39296006	chr1	118149251	118149753	2
chr1	39649489	39650136	chr1	39723891	39724838	2
chr1	40644599	40645099	chr1	246450217	246450717	2
chr1	40658318	40658828	chr1	40942541	40943041	2
chr1	41239451	41239951	chr1	41304944	41305444	2
chr1	41313778	41314900	chr1	41417623	41419025	6
chr1	41313884	41314544	chr1	41414686	41415614	2
chr1	43378801	43379697	chr1	43539456	43540047	3
chr1	43736838	43737345	chr1	43750875	43751375	2
chr1	44229155	44229789	chr1	44400189	44401017	2
chr1	44384213	44384713	chr1	199453755	199454255	2
chr1	45481797	45482560	chr1	45765257	45765795	2
chr1	45825168	45825920	chr1	45958570	45959337	3
chr1	45850829	45851329	chr1	46283306	46283806	2
chr1	46502275	46503896	chr1	46644795	46646929	6
chr1	46502787	46503522	chr1	46689702	46690401	2
chr1	46597182	46598017	chr1	46645465	46646002	2
chr1	46648817	46649317	chr1	68971954	68972454	2
chr1	46907835	46908357	chr1	46993436	46994394	2
chr1	46942839	46943699	chr1	47032216	47033082	2
chr1	47902001	47902502	chr1	51703353	51703853	2
chr1	48526795	48527295	chr1	169598697	169599198	2
chr1	50575988	50576488	chr1	145567984	145568529	2
chr1	53016234	53016734	chr1	160019229	160019731	2
chr1	53743106	53744719	chr1	53858356	53859622	6
chr1	53951128	53952012	chr1	54147498	54148154	2
chr1	54326534	54327446	chr1	54424747	54425384	2
chr1	55416364	55417178	chr1	55461837	55462452	2
chr1	57041548	57042062	chr1	66776968	66777468	2
chr1	59106286	59106786	chr1	154143864	154144367	2
chr1	59251027	59251854	chr1	59369858	59370762	2
chr1	59480338	59480838	chr1	101538706	101539206	2
chr1	61546553	61547061	chr1	62515823	62516323	2
chr1	61691501	61692001	chr1	85050438	85051077	2
chr1	65152107	65153036	chr1	65210716	65211668	2
chr1	76619665	76620363	chr1	77366646	77367571	2
chr1	79083192	79083958	chr1	79141709	79142664	3
chr1	85031116	85031616	chr1	236035459	236035959	2
chr1	85761823	85762323	chr1	108310102	108310602	2
chr1	88009022	88009522	chr1	156186133	156186639	2
chr1	88828886	88829386	chr1	175669804	175670304	2
chr1	90341773	90342273	chr1	94504879	94505428	2
chr1	92607503	92608003	chr1	184444518	184445018	2
chr1	94200085	94200976	chr1	94279429	94280314	2
chr1	94527101	94527669	chr1	94628766	94629395	2
chr1	94801852	94802626	chr1	94929260	94929860	2
chr1	95111461	95112216	chr1	95175492	95175992	2
chr1	95319664	95320404	chr1	95506949	95507891	2
chr1	95701300	95701800	chr1	192786797	192787297	2
chr1	99429044	99429575	chr1	99636628	99637128	2
chr1	100625675	100626175	chr1	100920730	100921230	2
chr1	106793090	106793590	chr1	106815282	106815782	2
chr1	107076630	107077130	chr1	107111683	107112183	2
chr1	107118329	107118832	chr1	222960291	222960791	2
chr1	107190707	107191208	chr1	107395794	107396294	2
chr1	107275489	107275989	chr1	203581753	203582256	2
chr1	107495521	107496021	chr1	107747588	107748088	2
chr1	107972859	107973455	chr1	108071800	108072455	2
chr1	108199085	108199589	chr1	108209164	108209664	2
chr1	108324929	108325694	chr1	108667945	108668548	2
chr1	108327671	108328504	chr1	108668083	108668588	2
chr1	109054842	109055803	chr1	109102182	109102944	3
chr1	109055254	109056031	chr1	109103817	109104632	3
chr1	109627057	109627557	chr1	180138487	180138988	2
chr1	109781950	109782631	chr1	109806361	109806997	2
chr1	109823146	109823647	chr1	109943544	109944044	2
chr1	109968794	109969733	chr1	110032998	110033876	2
chr1	110035824	110036648	chr1	110074451	110075040	2
chr1	110040545	110041543	chr1	110074444	110075678	4
chr1	110042650	110043182	chr1	110074938	110075703	2
chr1	110185899	110186554	chr1	110316373	110316955	2
chr1	110186018	110186540	chr1	110246535	110247387	2
chr1	110319170	110319820	chr1	110331367	110332173	2
chr1	110319195	110320246	chr1	110526654	110527762	6
chr1	110319229	110320308	chr1	110522620	110523971	6
chr1	110332770	110333296	chr1	110419889	110420389	2
chr1	110334347	110335196	chr1	110526656	110527201	2
chr1	110750068	110750973	chr1	110854941	110855543	4
chr1	110750641	110751375	chr1	110787127	110787627	2
chr1	110954847	110955835	chr1	110976139	110976985	3
chr1	110955178	110955804	chr1	111037966	111038933	2
chr1	110976087	110976628	chr1	111002616	111003521	2
chr1	111039563	111040063	chr1	111149508	111150008	2
chr1	111066780	111067745	chr1	111157873	111158796	3
chr1	111161790	111162580	chr1	111323086	111323652	2
chr1	111967380	111967880	chr1	112215183	112215683	2
chr1	112024394	112025513	chr1	112050419	112051399	3
chr1	112493779	112494282	chr1	215055999	215056499	2
chr1	112502197	112502735	chr1	112534151	112534651	2
chr1	113258992	113259499	chr1	113346543	113347367	2
chr1	113260977	113261775	chr1	113346140	113347011	2
chr1	113280318	113281052	chr1	113347006	113347914	2
chr1	113688746	113689246	chr1	201499895	201500395	2
chr1	114447325	114448314	chr1	114471512	114472791	6
chr1	114519153	114520406	chr1	114825174	114826183	4
chr1	114520886	114521810	chr1	115499280	115499853	2
chr1	114521410	114521910	chr1	114970683	114971183	2
chr1	114531550	114532458	chr1	169419634	169420134	2
chr1	114766171	114766671	chr1	115434622	115435122	2
chr1	114877735	114878618	chr1	114888959	114889647	2
chr1	115163962	115164824	chr1	115214052	115214963	2
chr1	115289859	115290359	chr1	151707485	151707995	2
chr1	115679257	115679757	chr1	165226398	165226898	2
chr1	115941295	115941795	chr1	207470128	207470662	2
chr1	116088375	116089111	chr1	116138168	116138755	2
chr1	116138296	116138798	chr1	116150254	116150757	2
chr1	116150305	116150950	chr1	116314172	116314772	2
chr1	116260023	116260656	chr1	116307143	116307700	2
chr1	116314455	116315076	chr1	116350342	116350955	2
chr1	116349572	116350476	chr1	116523976	116524926	2
chr1	116811661	116812161	chr1	177455538	177456038	2
chr1	116903041	116904148	chr1	117027705	117028508	5
chr1	116995708	116996208	chr1	117013598	117014098	2
chr1	117027737	117028517	chr1	117041603	117042128	2
chr1	117668359	117668864	chr1	117826979	117827647	2
chr1	117758265	117758838	chr1	117811280	117811983	2
chr1	118077481	118078049	chr1	118296407	118297125	2
chr1	118202914	118203751	chr1	118217390	118218009	2
chr1	118253031	118253943	chr1	118296243	118297396	3
chr1	119603138	119603638	chr1	150125198	150125699	2
chr1	119829354	119829914	chr1	119910667	119911630	2
chr1	121484614	121485322	chr1	201438040	201438867	2
chr1	144988255	144989099	chr1	145058790	145059656	2
chr1	145013903	145014495	chr1	145058516	145059257	2
chr1	145061671	145062171	chr1	145096235	145096754	2
chr1	145426690	145427896	chr1	145456690	145457662	3
chr1	145457016	145457756	chr1	145507001	145507638	2
chr1	145524441	145525113	chr1	145543097	145543948	2
chr1	145532608	145533258	chr1	145542829	145543631	2
chr1	145543925	145544456	chr1	145588298	145589160	2
chr1	145713564	145714412	chr1	145738328	145739262	2
chr1	145715090	145715590	chr1	187614030	187614530	2
chr1	146591559	146592059	chr1	147342832	147343396	2
chr1	146626293	146626793	chr1	202912503	202913005	2
chr1	146643365	146644909	chr1	146713751	146715288	8
chr1	146696354	146696880	chr1	146713726	146714372	2
chr1	146745175	146746142	chr1	146861292	146861823	2
chr1	146750563	146751063	chr1	201988109	201988612	2
chr1	147071629	147072634	chr1	147099160	147099941	3
chr1	147194059	147195025	chr1	147362293	147362882	2
chr1	147195931	147196686	chr1	147362551	147363083	2
chr1	149977553	149978053	chr1	212850571	212851071	2
chr1	150044277	150045156	chr1	150140939	150141722	2
chr1	150207015	150207516	chr1	181486949	181487449	2
chr1	150333403	150333903	chr1	150458580	150459080	2
chr1	150520979	150521667	chr1	150532426	150533035	2
chr1	150669172	150669742	chr1	150785423	150786169	2
chr1	151302470	151302993	chr1	170860794	170861294	2
chr1	151416076	151416648	chr1	151707215	151708074	2
chr1	151566546	151567135	chr1	151707218	151708082	2
chr1	151665323	151665988	chr1	151707271	151707863	2
chr1	151669083	151669859	chr1	151707169	151707689	2
chr1	151697913	151698413	chr1	151709440	151709940	2
chr1	151735495	151736507	chr1	151762474	151763341	3
chr1	151860488	151861327	chr1	151974184	151975086	2
chr1	151906347	151907199	chr1	151974274	151975006	3
chr1	151906672	151907302	chr1	151986186	151986707	2
chr1	151940088	151941288	chr1	151969063	151970612	6
chr1	151940369	151941067	chr1	151966705	151967440	2
chr1	152024920	152025555	chr1	152157813	152158475	2
chr1	152114603	152115330	chr1	152155020	152155651	2
chr1	152319107	152319985	chr1	152431031	152431588	2
chr1	152319300	152319917	chr1	152413445	152414370	2
chr1	152371241	152371891	chr1	152414284	152414789	2
chr1	152843839	152844512	chr1	152898583	152899250	2
chr1	152890122	152891036	chr1	153162471	153163395	2
chr1	153481808	153482360	chr1	153721648	153722475	2
chr1	153483107	153484118	chr1	153540957	153541745	3
chr1	153512423	153513019	chr1	153540803	153541335	2
chr1	153544870	153545787	chr1	153642897	153643607	2
chr1	153545179	153545743	chr1	153606274	153607025	2
chr1	153650031	153650534	chr1	153721588	153722488	2
chr1	154641890	154642469	chr1	154915750	154916675	2
chr1	154878705	154879386	chr1	154915932	154916891	3
chr1	155017043	155018073	chr1	155033420	155034522	4
chr1	155034912	155035797	chr1	155056693	155057626	2
chr1	155057486	155058039	chr1	155139995	155140612	2
chr1	155063705	155064591	chr1	155140019	155140647	4
chr1	155065015	155065997	chr1	155139881	155140566	2
chr1	155066712	155067226	chr1	155102017	155102585	2
chr1	155066730	155067657	chr1	155139639	155140616	4
chr1	156066183	156067226	chr1	156099645	156100698	6
chr1	156355197	156355720	chr1	156415332	156415886	2
chr1	156355331	156356229	chr1	156413887	156414736	3
chr1	156596809	156597561	chr1	156626975	156627875	2
chr1	156629408	156630103	chr1	156647291	156648287	2
chr1	156658883	156659849	chr1	156695264	156696147	2
chr1	156658912	156660025	chr1	156675440	156676746	4
chr1	156696326	156697383	chr1	156766860	156767754	3
chr1	156861589	156862273	chr1	156890558	156891408	2
chr1	157059596	157060910	chr1	157125173	157126406	7
chr1	157059726	157060259	chr1	157106006	157106822	2
chr1	157170082	157170582	chr1	174701284	174701826	2
chr1	158085053	158085553	chr1	191247848	191248348	2
chr1	159768530	159769319	chr1	159861041	159862329	3
chr1	159906075	159907018	chr1	159975690	159976744	4
chr1	159914787	159915287	chr1	170237837	170238337	2
chr1	160162670	160163181	chr1	160386299	160386897	2
chr1	160398256	160398841	chr1	160576834	160577509	2
chr1	161958522	161959022	chr1	161993730	161994230	2
chr1	162035505	162036007	chr1	162233933	162234433	2
chr1	165361672	165362639	chr1	165561949	165562836	2
chr1	165382443	165382943	chr1	172568788	172569292	2
chr1	165570600	165571347	chr1	165883326	165884037	2
chr1	165667063	165667611	chr1	165883176	165883899	2
chr1	165686955	165687689	chr1	165883189	165884004	2
chr1	167036202	167036930	chr1	167093317	167093820	2
chr1	167691094	167691599	chr1	167772650	167773233	2
chr1	168656822	168657364	chr1	168956684	168957407	2
chr1	169192527	169193027	chr1	236273029	236273529	2
chr1	169979332	169980175	chr1	170425900	170426635	2
chr1	172059124	172059690	chr1	172368210	172369203	2
chr1	172419165	172419665	chr1	172505462	172505967	2
chr1	173216658	173217158	chr1	223613478	223613979	2
chr1	173400201	173400704	chr1	173660378	173660919	2
chr1	175120972	175121921	chr1	175288783	175289469	3
chr1	175124060	175124895	chr1	175189953	175190562	2
chr1	175834416	175834916	chr1	217515583	217516083	2
chr1	176850166	176850666	chr1	177392041	177392541	2
chr1	176866150	176867110	chr1	177914873	177915494	2
chr1	176866682	176867359	chr1	177749168	177749953	2
chr1	177225113	177225785	chr1	177324625	177325472	2
chr1	177571873	177572395	chr1	177914637	177915621	2
chr1	177869452	177869952	chr1	184881423	184881938	2
chr1	177928642	177929467	chr1	178279056	178279885	2
chr1	178442221	178442721	chr1	236459010	236459510	2
chr1	179547685	179548284	chr1	229699856	229700356	2
chr1	179675347	179676343	chr1	179778555	179779327	3
chr1	179836241	179837216	chr1	180147609	180148469	2
chr1	179837034	179837623	chr1	180136944	180137694	2
chr1	180137937	180138771	chr1	180147285	180148216	2
chr1	180850564	180851331	chr1	181135525	181136038	2
chr1	180850989	180851704	chr1	181111425	181112129	3
chr1	180851470	180851970	chr1	180923012	180923513	2
chr1	180964224	180964724	chr1	180984592	180985092	2
chr1	181053138	181054042	chr1	181111212	181112384	6
chr1	181058571	181059548	chr1	181111384	181112071	2
chr1	181059681	181060621	chr1	181111367	181112021	2
chr1	181060147	181060651	chr1	181112088	181112588	2
chr1	181088159	181088900	chr1	181103745	181104288	2
chr1	181158606	181159242	chr1	181392932	181393673	2
chr1	181158936	181159891	chr1	181393697	181394698	4
chr1	182570250	182571067	chr1	182750698	182751591	3
chr1	182570458	182571318	chr1	182582798	182583659	2
chr1	182572008	182572641	chr1	182751136	182751741	2
chr1	183250732	183251259	chr1	183287330	183288105	2
chr1	184321567	184322068	chr1	184352544	184353044	2
chr1	184532373	184532873	chr1	184596041	184596541	2
chr1	184774566	184775574	chr1	184951187	184951902	3
chr1	184775134	184775768	chr1	196279781	196280281	2
chr1	184955186	184955938	chr1	185139112	185139706	2
chr1	187233860	187234804	chr1	187482155	187483150	2
chr1	191893117	191893617	chr1	192280822	192281332	2
chr1	197837152	197837652	chr1	197889828	197890330	2
chr1	198854012	198854748	chr1	199082507	199083022	2
chr1	199673625	199674125	chr1	237876118	237876618	2
chr1	200457618	200458362	chr1	200478634	200479550	3
chr1	200645719	200646228	chr1	226137081	226137581	2
chr1	201054502	201055489	chr1	201083288	201083875	3
chr1	201110151	201110651	chr1	222344162	222344662	2
chr1	201116980	201117953	chr1	201153837	201154589	2
chr1	201118324	201119167	chr1	201153465	201154490	3
chr1	201223282	201224620	chr1	201330272	201331435	8
chr1	201223394	201224306	chr1	201377226	201378122	2
chr1	201223426	201224598	chr1	201281138	201281679	3
chr1	201223739	201224517	chr1	201278286	201279236	2
chr1	201223782	201224626	chr1	201316719	201317906	3
chr1	201254641	201255141	chr1	201277074	201277605	2
chr1	201277585	201278125	chr1	201317074	201317915	2
chr1	201282447	201282947	chr1	201315178	201315697	3
chr1	201316919	201317974	chr1	201330341	201331317	4
chr1	201317217	201317761	chr1	201377220	201377734	2
chr1	201450980	201451889	chr1	201481785	201482803	3
chr1	201451548	201452124	chr1	202087873	202088788	2
chr1	201528573	201529561	chr1	201673311	201674284	8
chr1	201566721	201567270	chr1	201673093	201673790	2
chr1	201673174	201674020	chr1	202087678	202088494	2
chr1	201678649	201679169	chr1	202087778	202088685	2
chr1	201864901	201865512	chr1	201941956	201942598	2
chr1	202027649	202028380	chr1	202055658	202056405	2
chr1	202470017	202470517	chr1	202568966	202569466	2
chr1	202628613	202629553	chr1	202688388	202689292	3
chr1	202631416	202632361	chr1	202661430	202662319	2
chr1	203087055	203087567	chr1	203185240	203185856	2
chr1	203241855	203242640	chr1	203296698	203297392	2
chr1	203242089	203243116	chr1	203275131	203276284	3
chr1	203242146	203243201	chr1	203307266	203308219	5
chr1	203308785	203309415	chr1	203670968	203671511	2
chr1	203308923	203309874	chr1	203456455	203457598	4
chr1	203473672	203474543	chr1	203670948	203672004	3
chr1	203473775	203474445	chr1	203562439	203563183	2
chr1	203577136	203577636	chr1	203765184	203765684	2
chr1	203839770	203840662	chr1	204096403	204097379	2
chr1	204043423	204043957	chr1	204096689	204097277	2
chr1	204044167	204045086	chr1	204096959	204097576	2
chr1	204132722	204133290	chr1	204167296	204168135	2
chr1	204227137	204227657	chr1	204332879	204333477	2
chr1	204227315	204227855	chr1	204329169	204329881	2
chr1	204254210	204254959	chr1	204332357	204332920	2
chr1	204399932	204400901	chr1	204471980	204473493	4
chr1	204414791	204415766	chr1	204463177	204463887	2
chr1	204415427	204416103	chr1	204472196	204473076	2
chr1	204534919	204535553	chr1	204775969	204776697	2
chr1	204661250	204662202	chr1	204732727	204733411	3
chr1	204682470	204682970	chr1	240777018	240777549	2
chr1	204944829	204945414	chr1	205110598	205111142	2
chr1	204958134	204959091	chr1	205030353	205031787	6
chr1	205242364	205243241	chr1	205294097	205295585	6
chr1	205242637	205243245	chr1	205493724	205494264	2
chr1	205244329	205245037	chr1	205294298	205294963	2
chr1	205304475	205305009	chr1	205493286	205494102	3
chr1	205304819	205305369	chr1	205321199	205322176	3
chr1	205365836	205366491	chr1	205455432	205456151	2
chr1	205365884	205366441	chr1	205493201	205493770	2
chr1	205391963	205392545	chr1	205454416	205455049	2
chr1	205497788	205498661	chr1	205626404	205627202	3
chr1	205498168	205498898	chr1	205537986	205538660	2
chr1	205558832	205559373	chr1	206239738	206240238	2
chr1	205560484	205561253	chr1	205600713	205601711	2
chr1	205591026	205591526	chr1	212094013	212094513	2
chr1	205627614	205628509	chr1	205680704	205681487	2
chr1	205760487	205761423	chr1	205876737	205877299	2
chr1	206223502	206224010	chr1	243946199	243946699	2
chr1	206663292	206663996	chr1	206757252	206757787	2
chr1	207038189	207039032	chr1	207084162	207084697	2
chr1	211751174	211751822	chr1	211828639	211829276	2
chr1	214831711	214832833	chr1	215690822	215691791	3
chr1	214831873	214832524	chr1	215319418	215320256	2
chr1	214965057	214965559	chr1	230866937	230867437	2
chr1	217342234	217342812	chr1	217922542	217923286	2
chr1	217784384	217784931	chr1	217862468	217862968	2
chr1	222297719	222298504	chr1	222628100	222628990	2
chr1	222447881	222448383	chr1	241234631	241235131	2
chr1	222966203	222966837	chr1	223254773	223255397	3
chr1	223073535	223074037	chr1	223857727	223858227	2
chr1	223634973	223635473	chr1	244813100	244813600	2
chr1	223705288	223705788	chr1	223858035	223858558	2
chr1	223885880	223886486	chr1	223936480	223937428	2
chr1	224701160	224702005	chr1	224828363	224829310	2
chr1	225742128	225742628	chr1	225954698	225955199	2
chr1	226821530	226822535	chr1	227015548	227016419	5
chr1	226821727	226822238	chr1	226844315	226845275	2
chr1	227950038	227950996	chr1	228089612	228090238	2
chr1	230230921	230231452	chr1	230302582	230303082	2
chr1	230877957	230879048	chr1	230908551	230909836	6
chr1	230933416	230934056	chr1	231053206	231053831	2
chr1	230963242	230964049	chr1	231019167	231020085	2
chr1	231038172	231038695	chr1	231051742	231052242	2
chr1	231860641	231861532	chr1	231941823	231942635	3
chr1	231891983	231892934	chr1	231942112	231943167	4
chr1	233500291	233501000	chr1	233530965	233531490	2
chr1	233867857	233868357	chr1	233937029	233937529	2
chr1	234496673	234497173	chr1	234594608	234595452	2
chr1	234864795	234865296	chr1	235011286	235011786	2
chr1	236272981	236273672	chr1	236287918	236288554	2
chr1	242108331	242109150	chr1	242161497	242162087	2
chr1	244406318	244406818	chr1	244435621	244436153	2
chr1	244766522	244767145	chr1	244959963	244960493	2
chr1	247071206	247071712	chr1	247242089	247242589	2
chr1	2232612	2233141	chr10	37181332	37181832	2
chr1	3481919	3482419	chr10	109971167	109971667	2
chr1	3996742	3997244	chr10	79189834	79190334	2
chr1	6029322	6029822	chr10	117274849	117275349	2
chr1	6254293	6254793	chr10	87688680	87689180	2
chr1	9803131	9803631	chr10	127389035	127389535	2
chr1	12003522	12004022	chr10	56464689	56465189	2
chr1	12183375	12183916	chr10	25260054	25260554	2
chr1	14303496	14303996	chr10	102529104	102529606	2
chr1	15345523	15346023	chr10	30897165	30897665	2
chr1	15357291	15357791	chr10	134315349	134315849	2
chr1	15945581	15946081	chr10	125656990	125657491	2
chr1	16643442	16643942	chr10	27664733	27665285	2
chr1	19871463	19871963	chr10	77995451	77996041	2
chr1	20091038	20091538	chr10	103541046	103541546	2
chr1	24260592	24261092	chr10	8340768	8341268	2
chr1	25176439	25176984	chr10	32087294	32087794	2
chr1	25890303	25890803	chr10	115795489	115795990	2
chr1	26196417	26196917	chr10	128075291	128075791	2
chr1	29551643	29552143	chr10	82477413	82477913	2
chr1	32202400	32202900	chr10	121111168	121111668	2
chr1	35441257	35441757	chr10	54074834	54075334	2
chr1	37923040	37923540	chr10	111106135	111106636	2
chr1	38679890	38680390	chr10	82737801	82738301	2
chr1	41313361	41313861	chr10	109499415	109499916	2
chr1	45180225	45180756	chr10	23758026	23758526	2
chr1	45696249	45696749	chr10	123873932	123874456	2
chr1	45780356	45780856	chr10	32869106	32869649	2
chr1	46993795	46994295	chr10	98186007	98186532	2
chr1	48012902	48013402	chr10	101465109	101465822	2
chr1	49797173	49797673	chr10	86693261	86693770	2
chr1	55901790	55902290	chr10	119115869	119116369	2
chr1	56640720	56641358	chr10	126753500	126754000	2
chr1	59274964	59275549	chr10	70620365	70620865	2
chr1	59700992	59701492	chr10	43576858	43577358	2
chr1	60162748	60163248	chr10	103455869	103456370	2
chr1	60345322	60345825	chr10	117840957	117841457	2
chr1	62361517	62362017	chr10	121425606	121426169	2
chr1	65599737	65600237	chr10	206775	207275	2
chr1	68644346	68644856	chr10	74021252	74021752	2
chr1	69932486	69932986	chr10	8261532	8262036	2
chr1	70126837	70127337	chr10	115375586	115376097	2
chr1	80640626	80641248	chr10	48655718	48656218	2
chr1	89675130	89675630	chr10	43580558	43581059	2
chr1	94911727	94912227	chr10	37491070	37491722	2
chr1	98898942	98899442	chr10	53085159	53085659	2
chr1	106845841	106846377	chr10	94028809	94029309	2
chr1	106959340	106959840	chr10	104402214	104402714	2
chr1	107915695	107916195	chr10	57757888	57758410	2
chr1	109201288	109201788	chr10	104720520	104721040	2
chr1	109261658	109262158	chr10	123115748	123116249	2
chr1	109889522	109890098	chr10	99625081	99625581	2
chr1	110523177	110523677	chr10	16443604	16444107	2
chr1	111747901	111748651	chr10	94309981	94310481	2
chr1	113469365	113469865	chr10	120631004	120631543	2
chr1	114275209	114275713	chr10	10317603	10318103	2
chr1	114500548	114501048	chr10	516176	516677	2
chr1	118696283	118696783	chr10	115658949	115659449	2
chr1	119300671	119301171	chr10	65936002	65936502	2
chr1	119385059	119385560	chr10	31751540	31752040	2
chr1	120430423	120431271	chr10	34368516	34369362	2
chr1	145057554	145058054	chr10	4858778	4859280	2
chr1	146757364	146757864	chr10	121834748	121835248	2
chr1	149933400	149933902	chr10	97764316	97764816	2
